Категория TripAdviser	Подкатегория  TripAdviser	МСС id	Категория MCC	Достопримечательность
Отели		64	Гостиницы и санатории	
Рестораны		11	Кафе/бары/рестораны	
Достопримечательности	Музеи			Музеи
Достопримечательности	Еда и напитки	65	Турагенства	
Достопримечательности	Достопримечательности и культурные объекты			Достопримечательности
Достопримечательности	Природа и парки			Парки
Достопримечательности	Церкви и соборы			Церкви и соборы
Достопримечательности	Покупки			Торговые центры
Достопримечательности	Зоопарки и океанариумы	28	Зрелищные развлечения	
Достопримечательности	Транспорт	66	Общественный транспорт	
Достопримечательности	Ресурсы для путешественников	65	Турагенства	
Достопримечательности	Развлечения и игры	28	Активные развлечения	
